2020-02-28 18:01:53,"b'RT @BeWaterHKG: A woman seen in Tai Wai picking up and collecting, sorting used masks - according to the lady filming, straight from the tr\xe2\x80\xa6'"
2020-02-28 17:41:22,b'Re: #Corona beer. Go into any pharmacy in the 1970s &amp; you saw a patent-medicine diet-reduction product called Ayds.\xe2\x80\xa6 https://t.co/E3MnOznYlW'
2020-02-28 17:06:23,b'How transparent and open #china no #FreedomOfSpeech #WuhanCoronovirus #COVID2019 @SOAS_CI @CECCgov @SolomonYue\xe2\x80\xa6 https://t.co/BmpxSHw0Xe'
2020-02-28 17:02:02,b'12:00 news on planet rock. #ukgovernment  spokeswoman \xe2\x80\x9cIn the unlikely event event that you get #coronavirus you wi\xe2\x80\xa6 https://t.co/oaLzOUaTSn'
2020-02-28 16:38:04,"b'When facing the large amount of information and news, we should calm down and try to think critically.\xe2\x80\xa6 https://t.co/gMA844V78Y'"
2020-02-28 16:29:25,b'The mortality rate for every age bracket.\n The virus most seriously affected older people .\nThe data suggests a per\xe2\x80\xa6 https://t.co/B5QSL9ifeg'
2020-02-28 16:05:26,"b'RT @demosisto: When HK is hit by #WuhanCoronovirus, a NBC reporter was sexually harassed by a #hkpolice officer. The #police refused to giv\xe2\x80\xa6'"
2020-02-28 16:04:46,b'RT @demosisto: Masks are in deadly shortage and #Carrielam refuses to seal borders to keep out #wuhancoronovirus. Walking with two crutches\xe2\x80\xa6'
2020-02-28 16:04:21,"b""RT @FurqanNfs: @OfficialDGISPR #EvacuatePakistaniStudents \nSir'll U listen to the cries of 1360 \xf0\x9f\x87\xb5\xf0\x9f\x87\xb0students stranded in #WuhanCoronovirus #L\xe2\x80\xa6"""
2020-02-28 16:03:47,b'RT @3TW_3470: Live #coronavirus statistics \n#CoronaVirusUpdates \n#WuhanCoronovirus \n\xe2\x9c\x85\xe2\x9c\x85\xe2\x9c\x85\xe2\x9c\x85\xe2\x9c\x85\xe2\x9c\x85\xe2\x9c\x85\xe2\x9c\x85\xe2\x9c\x85\xe2\x9c\x85\xe2\x9c\x85\nhttps://t.co/NW5k89555J'
2020-02-28 15:54:07,b'@babyson71988029 @andrewbogut #WuhanCoronovirus are spreading all around #chinazi. https://t.co/tCfaBXrrF5'
2020-02-28 15:13:14,b'RT @hkcentraler: Tracking the novel @coronavirus https://t.co/wjsa5l8Zmt via @Reuters\n\n#CoronaVirusUpdates #\xe6\xad\xa6\xe6\xbc\xa2\xe8\x82\xba\xe7\x82\x8e #COVID2019 #COVID\xe3\x83\xbc19 #Wuha\xe2\x80\xa6'
2020-02-28 14:57:38,"b""RT @Louie_Korest: \xe5\xaa\xbd\xe5\x91\x80\xe9\x80\x99\xe5\x9c\x96\xe5\x88\xb0\xe5\xba\x95\xe9\x82\x84\xe5\x8f\xaf\xe4\xbb\xa5\xe6\x94\xb9\xe5\xa4\x9a\xe5\xb0\x91\xe6\xac\xa1\xe3\x80\x82\n--\nIran is coming.\nSeriously, don't increase people in the room anymore.\n\n*I modify the sentence on the bo\xe2\x80\xa6"""
2020-02-28 14:34:52,b'RT @badiucao: \xe2\x9d\x97\xef\xb8\x8fgraphic\xe2\x9d\x97\xef\xb8\x8f\nbelieved that this video was filmed in hospital #Wuhan the city locked down in China due to outbreak of #coronavi\xe2\x80\xa6'
2020-02-28 14:30:23,b'Tracking the novel @coronavirus https://t.co/wjsa5l8Zmt via @Reuters\n\n#CoronaVirusUpdates #\xe6\xad\xa6\xe6\xbc\xa2\xe8\x82\xba\xe7\x82\x8e #COVID2019\xe2\x80\xa6 https://t.co/JfpWhzEubU'
2020-02-28 14:16:03,"b'RT @kschenxiaoxiao: This gentleman is great. Free speech is based on mutual respect, otherwise it is discrimination free.\n#JeNeSuisPasUnVir\xe2\x80\xa6'"
2020-02-28 14:09:03,b'RT @Robin579384016: Forgot to wear mask. Man in white yelled \xe3\x80\x8cYou stupid shit !\xe3\x80\x8d\n#WuhanCoronovirus #WuhanOutbreak https://t.co/AG4OUW86Y9'
2020-02-28 13:54:32,"b'@jacktherock5 Yes, Western had see if China always make lies looks like Uyghur, Tibet, Hong Kong, cannibalism of wi\xe2\x80\xa6 https://t.co/fVynuieLEh'"
2020-02-28 13:42:44,b'Top Virus Expert Told to Shut Up\nDr.  Anthony Fauci ... director of the National Institute of Allergies and Infecti\xe2\x80\xa6 https://t.co/h3ylD0CdWt'
2020-02-28 13:30:25,"b'Wuhan - Sister of Coronavirus - Real Vintage Dictionary Page Art, Horror Fan, Modern Poster Gift, Gothic Poster Pri\xe2\x80\xa6 https://t.co/qvGGJv3AYZ'"
2020-02-28 13:28:51,b'Jummah Mubarak to everyone. Wash your hands frequently and follow all precautions to prepare yourself against\xe2\x80\xa6 https://t.co/88Mk498Hj2'
2020-02-28 13:07:20,b'RT @Kakahk6: @fattoquotidiano China communist hide the truth and spread the virus to the world. They are dictator and murderer #WuhanCorono\xe2\x80\xa6'
2020-02-28 13:06:55,b'RT @Kakahk6: WHO helped China dictator to hide the truth and spread the virus to the world. You are MURDERER. you are DICTATOR. WHO is just\xe2\x80\xa6'
2020-02-28 13:03:37,b'RT @MikeDreamerHK: Molecular based IVD? See @WHO I have no doubt you can produce the most fancy IVD with highest sensitivity &amp; specificity\xe2\x80\xa6'
2020-02-28 13:02:26,"b'@philipjcowley Nah, using #WuhanCoronovirus for political gains is a trick by Carrie lam of #HongKong\n\nA bus will do around here'"
2020-02-28 12:51:39,"b'Cheater Sun Yang! But he is just an example, since China is big cheater! They cheat and fake the world Another very\xe2\x80\xa6 https://t.co/Zr6Ht38d63'"
2020-02-28 12:48:42,"b'RT @Aqeel_Qureshi: The novel coronavirus has killed at least 2,800 people worldwide, the vast majority in mainland China - CNN #WuhanCorono\xe2\x80\xa6'"
2020-02-28 12:42:20,b'RT @kiloloyc: A poll on weibo with a topic saying \xe2\x80\x9cwe chinese doesnt owe anything to the world\xe2\x80\x9d. From the poll over 90% thinks the #WuhanCo\xe2\x80\xa6'
2020-02-28 12:24:04,b'@WHO @WHOWPRO @WHOSEARO @WHOEMRO @WHOAFRO @pahowho @WHO_Europe Is the IVD being molecular based? @WHO I have no dou\xe2\x80\xa6 https://t.co/1F0pYyC1c8'
2020-02-28 12:20:22,b'Molecular based IVD? See @WHO I have no doubt you can produce the most fancy IVD with highest sensitivity &amp; specifi\xe2\x80\xa6 https://t.co/P27BBUNaXH'
2020-02-28 12:17:55,"b'The novel coronavirus has killed at least 2,800 people worldwide, the vast majority in mainland China - CNN\xe2\x80\xa6 https://t.co/CYRjTPYItX'"
2020-02-28 12:15:30,b'WHO helped China dictator to hide the truth and spread the virus to the world. You are MURDERER. you are DICTATOR.\xe2\x80\xa6 https://t.co/b5UG0lFGGn'
2020-02-28 12:15:22,"b""RT @Louie_Korest: \xe5\xaa\xbd\xe5\x91\x80\xe9\x80\x99\xe5\x9c\x96\xe5\x88\xb0\xe5\xba\x95\xe9\x82\x84\xe5\x8f\xaf\xe4\xbb\xa5\xe6\x94\xb9\xe5\xa4\x9a\xe5\xb0\x91\xe6\xac\xa1\xe3\x80\x82\n--\nIran is coming.\nSeriously, don't increase people in the room anymore.\n\n*I modify the sentence on the bo\xe2\x80\xa6"""
2020-02-28 12:13:08,b'@fattoquotidiano China communist hide the truth and spread the virus to the world. They are dictator and murderer\xe2\x80\xa6 https://t.co/yJvlr4SclX'
2020-02-28 12:12:43,b'@ilfattoblog @fattoquotidiano @AntigoneOnlus China communist hide the truth and spread the virus to the world. They\xe2\x80\xa6 https://t.co/GHItKEl0l6'
2020-02-28 12:12:34,b'@RaiStudio24 @RaiNews China communist hide the truth and spread the virus to the world. They are dictator and murde\xe2\x80\xa6 https://t.co/6uDQzvE8RY'
2020-02-28 12:12:34,"b'RT @AsylumShelterUS: #WuhanCoronovirus Official medium called Wuhan to refuel, and at the same time, Wuhan people are caught everywhere\xef\xbc\x81\xe2\x80\xa6'"
2020-02-28 12:12:12,b'@RaiNews China communist hide the truth and spread the virus to the world. They are dictator and murderer\xe2\x80\xa6 https://t.co/63EmPP0M1P'
2020-02-28 12:12:07,"b'RT @AsylumShelterUS: #Wuhan #WuhanCoronovirus \n\nBecause of the neighbors who came back from Hubei, everyone ""worked together"" to nail their\xe2\x80\xa6'"
2020-02-28 12:11:45,b'@La7tv @franborgonovo China communist hide the truth and spread the virus to the world. They are dictator and murde\xe2\x80\xa6 https://t.co/odJaMqjMNv'
